,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Mahmoud Abdul-Rauf,PG,26,DEN,57,53,2029,414,955,0.434,121,309,0.392,293,646,0.454,0.497,146,157,0.93,26,112,138,389,64,3,115,117,1095
1,2,Michael Adams,PG,33,CHH,21,3,329,37,83,0.446,14,41,0.341,23,42,0.548,0.53,26,35,0.743,5,17,22,67,21,4,25,25,114
2,3,Rafael Addison,SF,31,CHH,53,0,516,77,165,0.467,0,9,0,77,156,0.494,0.467,17,22,0.773,25,65,90,30,9,9,27,74,171
3,4,Cory Alexander,PG,22,SAS,60,0,560,63,155,0.406,26,66,0.394,37,89,0.416,0.49,16,25,0.64,9,33,42,121,27,2,68,94,168
4,5,Jerome Allen,SG,23,MIN,41,0,362,36,105,0.343,10,33,0.303,26,72,0.361,0.39,26,36,0.722,5,20,25,49,21,5,34,42,108
5,6,Derrick Alston,C,23,PHI,73,41,1614,198,387,0.512,1,3,0.333,197,384,0.513,0.513,55,112,0.491,127,175,302,61,56,52,59,191,452
6,7,John Amaechi,PF,25,CLE,28,3,357,29,70,0.414,0,0,,29,70,0.414,0.414,19,33,0.576,13,39,52,9,6,11,34,49,77
7,8,Ashraf Amaya,PF,24,VAN,54,34,1104,121,252,0.48,0,1,0,121,251,0.482,0.48,97,149,0.651,114,189,303,33,22,10,57,151,339
8,9,Greg Anderson,PF,31,SAS,46,7,344,24,47,0.511,0,1,0,24,46,0.522,0.511,6,25,0.24,29,71,100,10,9,24,22,66,54
9,10,Kenny Anderson,PG,25,TOT,69,64,2344,349,834,0.418,92,256,0.359,257,578,0.445,0.474,260,338,0.769,63,140,203,575,111,14,146,178,1050
10,10,Kenny Anderson,PG,25,NJN,31,28,1042,143,380,0.376,36,99,0.364,107,281,0.381,0.424,151,188,0.803,37,64,101,247,52,8,58,73,473
11,10,Kenny Anderson,PG,25,CHH,38,36,1302,206,454,0.454,56,157,0.357,150,297,0.505,0.515,109,150,0.727,26,76,102,328,59,6,88,105,577
12,11,Nick Anderson,SG,28,ORL,77,77,2717,400,904,0.442,168,430,0.391,232,474,0.489,0.535,166,240,0.692,92,323,415,279,121,46,141,135,1134
13,12,Willie Anderson,SG,29,TOT,76,44,2060,288,660,0.436,34,120,0.283,254,540,0.47,0.462,132,163,0.81,48,198,246,197,75,59,143,230,742
14,12,Willie Anderson,SG,29,TOR,49,42,1564,232,527,0.44,29,95,0.305,203,432,0.47,0.468,113,132,0.856,35,151,186,149,58,51,119,171,606
15,12,Willie Anderson,SG,29,NYK,27,2,496,56,133,0.421,5,25,0.2,51,108,0.472,0.44,19,31,0.613,13,47,60,48,17,8,24,59,136
16,13,Greg Anthony,PG,28,VAN,69,68,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967
17,14,B.J. Armstrong,PG,28,GSW,82,64,2262,340,727,0.468,98,207,0.473,242,520,0.465,0.535,234,279,0.839,22,162,184,401,68,6,128,147,1012
18,15,Darrell Armstrong,PG,27,ORL,13,0,41,16,32,0.5,6,12,0.5,10,20,0.5,0.594,4,4,1,0,2,2,5,6,0,6,4,42
19,16,Vincent Askew,SG,29,SEA,69,2,1725,215,436,0.493,29,86,0.337,186,350,0.531,0.526,123,161,0.764,65,153,218,163,47,15,96,178,582
20,17,Keith Askins,SF,28,MIA,75,14,1897,157,391,0.402,99,237,0.418,58,154,0.377,0.528,45,57,0.789,113,211,324,121,48,61,82,271,458
21,18,Stacey Augmon,SF,27,ATL,77,49,2294,362,738,0.491,1,4,0.25,361,734,0.492,0.491,251,317,0.792,137,167,304,137,106,31,138,188,976
22,19,Anthony Avent,PF,26,VAN,71,32,1586,179,466,0.384,0,0,,179,466,0.384,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415
23,20,Vin Baker,PF,24,MIL,82,82,3319,699,1429,0.489,10,48,0.208,689,1381,0.499,0.493,321,479,0.67,263,545,808,212,68,91,216,272,1729
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
25,21,Steve Bardo,SG,27,DET,9,0,123,9,23,0.391,0,4,0,9,19,0.474,0.391,4,6,0.667,2,20,22,15,4,1,5,17,22
26,22,Charles Barkley*,PF,32,PHO,71,71,2632,580,1160,0.5,49,175,0.28,531,985,0.539,0.521,440,566,0.777,243,578,821,262,114,56,218,208,1649
27,23,Dana Barros,PG,28,BOS,80,25,2328,379,806,0.47,150,368,0.408,229,438,0.523,0.563,130,147,0.884,21,171,192,306,58,3,120,116,1038
28,24,Brent Barry,SG,24,LAC,79,44,1898,283,597,0.474,123,296,0.416,160,301,0.532,0.577,111,137,0.81,38,130,168,230,95,22,120,196,800
29,25,Jon Barry,SG,26,GSW,68,0,712,91,185,0.492,44,93,0.473,47,92,0.511,0.611,31,37,0.838,17,46,63,85,33,11,42,51,257
30,26,Corey Beck,PG,24,CHH,5,0,33,2,8,0.25,0,0,,2,8,0.25,0.25,1,2,0.5,3,4,7,5,1,0,4,8,5
31,27,Benoit Benjamin,C,31,TOT,83,71,1896,294,590,0.498,0,3,0,294,587,0.501,0.498,140,194,0.722,141,398,539,64,45,85,144,224,728
32,27,Benoit Benjamin,C,31,VAN,13,13,404,71,161,0.441,0,0,,71,161,0.441,0.441,39,56,0.696,31,72,103,16,10,15,34,40,181
33,27,Benoit Benjamin,C,31,MIL,70,58,1492,223,429,0.52,0,3,0,223,426,0.523,0.52,101,138,0.732,110,326,436,48,35,70,110,184,547
34,28,Elmer Bennett,PG,25,PHI,8,0,66,4,17,0.235,0,0,,4,17,0.235,0.235,3,4,0.75,1,4,5,8,1,1,7,6,11
35,29,Mario Bennett,SF,22,PHO,19,14,230,29,64,0.453,0,1,0,29,63,0.46,0.453,27,42,0.643,21,28,49,6,11,11,11,46,85
36,30,David Benoit,SF,27,UTA,81,63,1961,255,581,0.439,64,192,0.333,191,389,0.491,0.494,87,112,0.777,90,293,383,82,43,49,71,166,661
37,31,Travis Best,PG,23,IND,59,1,571,69,163,0.423,8,25,0.32,61,138,0.442,0.448,75,90,0.833,11,33,44,97,20,3,63,80,221
38,32,Mookie Blaylock,PG,28,ATL,81,81,2893,455,1123,0.405,231,623,0.371,224,500,0.448,0.508,127,170,0.747,110,222,332,478,212,17,188,151,1268
39,33,Corie Blount,PF,27,LAL,57,2,715,79,167,0.473,0,2,0,79,165,0.479,0.473,25,44,0.568,69,101,170,42,25,35,47,109,183
40,34,Muggsy Bogues,PG,31,CHH,6,0,77,6,16,0.375,0,1,0,6,15,0.4,0.375,2,2,1,6,1,7,19,2,0,6,4,14
41,35,Anthony Bonner,PF,27,ORL,4,0,43,5,15,0.333,0,0,,5,15,0.333,0.333,3,7,0.429,6,13,19,4,3,0,3,11,13
42,36,Melvin Booker,PG,23,HOU,11,0,131,16,50,0.32,3,19,0.158,13,31,0.419,0.35,9,11,0.818,1,8,9,21,5,1,12,18,44
43,37,Anthony Bowie,SG,32,ORL,74,4,1078,128,272,0.471,12,31,0.387,116,241,0.481,0.493,40,46,0.87,40,83,123,105,34,10,55,112,308
44,38,Donnie Boyce,SG,22,ATL,8,0,41,9,23,0.391,4,8,0.5,5,15,0.333,0.478,2,4,0.5,5,5,10,3,3,1,6,2,24
45,39,Shawn Bradley,C,23,TOT,79,68,2329,387,873,0.443,1,4,0.25,386,869,0.444,0.444,169,246,0.687,221,417,638,63,49,288,179,286,944
46,39,Shawn Bradley,C,23,PHI,12,11,334,43,97,0.443,0,0,,43,97,0.443,0.443,19,25,0.76,34,72,106,8,8,38,31,42,105
47,39,Shawn Bradley,C,23,NJN,67,57,1995,344,776,0.443,1,4,0.25,343,772,0.444,0.444,150,221,0.679,187,345,532,55,41,250,148,244,839
48,40,Marques Bragg,PF,25,MIN,53,0,369,54,120,0.45,0,0,,54,120,0.45,0.45,23,41,0.561,38,41,79,8,17,8,26,71,131
49,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,41,Terrell Brandon,PG,25,CLE,75,75,2570,510,1096,0.465,91,235,0.387,419,861,0.487,0.507,338,381,0.887,47,201,248,487,132,33,142,146,1449
51,42,Tim Breaux,SF,25,HOU,54,4,570,59,161,0.366,15,46,0.326,44,115,0.383,0.413,28,45,0.622,22,38,60,24,11,8,30,42,161
52,43,Frank Brickowski,C,36,SEA,63,8,986,123,252,0.488,32,79,0.405,91,173,0.526,0.552,61,86,0.709,26,125,151,58,26,8,78,185,339
53,44,Scott Brooks,PG,30,DAL,69,0,716,134,293,0.457,25,62,0.403,109,231,0.472,0.5,59,69,0.855,11,30,41,100,42,3,43,53,352
54,45,Chucky Brown,PF,27,HOU,82,82,2019,300,555,0.541,1,8,0.125,299,547,0.547,0.541,104,150,0.693,134,307,441,89,47,38,94,163,705
55,46,Dee Brown,PG,27,BOS,65,23,1591,246,616,0.399,68,220,0.309,178,396,0.449,0.455,135,158,0.854,36,100,136,146,80,12,74,119,695
56,47,Mike Brown,C,32,PHI,9,1,162,9,16,0.563,0,0,,9,16,0.563,0.563,8,17,0.471,14,23,37,3,3,2,6,24,26
57,48,P.J. Brown,C,26,NJN,81,81,2942,354,798,0.444,3,15,0.2,351,783,0.448,0.445,204,265,0.77,215,345,560,165,79,100,133,249,915
58,49,Randy Brown,PG,27,CHI,68,0,671,78,192,0.406,1,11,0.091,77,181,0.425,0.409,28,46,0.609,17,49,66,73,57,12,31,88,185
59,50,Mark Bryant,PF,30,HOU,71,9,1587,242,446,0.543,0,2,0,242,444,0.545,0.543,127,177,0.718,131,220,351,52,31,19,85,234,611
60,51,Jud Buechler,SF,27,CHI,74,0,740,112,242,0.463,40,90,0.444,72,152,0.474,0.545,14,22,0.636,45,66,111,56,34,7,39,70,278
61,52,Matt Bullard,PF,28,ATL,46,0,460,66,162,0.407,26,72,0.361,40,90,0.444,0.488,16,20,0.8,18,42,60,18,17,11,24,50,174
62,53,Scott Burrell,SF,25,CHH,20,20,693,92,206,0.447,37,98,0.378,55,108,0.509,0.536,42,56,0.75,26,72,98,47,27,13,43,76,263
63,54,Junior Burrough,PF,23,BOS,61,3,495,64,170,0.376,0,0,,64,170,0.376,0.376,61,93,0.656,45,64,109,15,15,10,40,74,189
64,55,Mitchell Butler,SG,25,WSB,61,3,858,88,229,0.384,13,60,0.217,75,169,0.444,0.413,48,83,0.578,29,89,118,67,41,12,67,104,237
65,56,Jason Caffey,PF,22,CHI,57,0,545,71,162,0.438,0,1,0,71,161,0.441,0.438,40,68,0.588,51,60,111,24,12,7,48,91,182
66,57,Michael Cage,C,34,CLE,82,80,2631,220,396,0.556,0,1,0,220,395,0.557,0.556,50,92,0.543,288,441,729,53,87,79,54,215,490
67,58,Adrian Caldwell,PF,29,IND,51,1,327,46,83,0.554,0,0,,46,83,0.554,0.554,18,36,0.5,42,68,110,6,9,5,35,73,110
68,59,Elden Campbell,PF,27,LAL,82,82,2699,447,888,0.503,0,5,0,447,883,0.506,0.503,249,349,0.713,162,461,623,181,88,212,137,300,1143
69,60,Antoine Carr,SF,34,UTA,80,0,1532,233,510,0.457,0,3,0,233,507,0.46,0.457,114,144,0.792,71,129,200,74,28,65,78,254,580
70,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
71,61,Chris Carr,SG,21,PHO,60,10,590,90,217,0.415,11,42,0.262,79,175,0.451,0.44,49,60,0.817,27,75,102,43,10,5,40,77,240
